temperature,s_pa100,v_pa100,u_pa100,h_pa100,s_pa200,v_pa200,u_pa200,h_pa200
0,0.21903,54.70,76.61,5.4059,0.11520,58.01,81.05,5.2673
100,0.29103,72.84,101.94,5.6944,0.14252,71.73,100.24,5.4775
120,0.35208,87.94,123.15,5.8878,0.17397,87.14,121.93,5.6753
140,0.41253,102.95,144.20,6.0501,0.20476,102.33,143.28,5.8399
160,0.47263,117.91,165.17,6.1901,0.23519,117.40,164.44,5.9812
180,0.53254,132.83,186.09,6.3132,0.26542,132.41,185.49,6.1052
200,0.59231,147.74,206.97,6.4232,0.29551,147.37,206.48,6.2157
220,0.65199,162.63,227.83,6.5227,0.32552,162.31,227.41,6.3155
240,0.71161,177.51,248.67,6.6133,0.35546,177.23,248.32,6.4064
260,0.77118,192.39,269.51,6.6967,0.38535,192.14,269.21,6.4900
280,0.83072,207.26,290.33,6.7739,0.41520,207.04,290.08,6.5674
300,0.89023,222.14,311.16,6.8457,0.44503,221.93,310.94,6.6393
350,1.03891,259.35,363.24,7.0063,0.51952,259.18,363.09,6.8001
400,1.18752,296.66,415.41,7.1456,0.59392,296.52,415.31,6.9396
450,1.33607,334.16,467.77,7.2690,0.66827,334.04,467.70,7.0630
500,1.48458,371.95,520.41,7.3799,0.74258,371.85,520.37,7.1740
600,1.78154,448.79,626.94,7.5741,0.89114,448.71,626.94,7.3682
700,2.07845,527.74,735.58,7.7415,1.03965,527.68,735.61,7.5357
800,2.37532,609.07,846.60,7.8897,1.18812,609.02,846.64,7.6839
900,2.67217,692.79,960.01,8.0232,1.33657,692.75,960.07,7.8175
1000,2.96900,778.78,1075.68,8.1451,1.48501,778.74,1075.75,7.9393
