temperature,v_pa100,u_pa100,h_pa100,s_pa100,v_pa200,u_pa200,h_pa200,s_pa200
0,1.69400,2506.06,2675.46,7.3593,0.88573,2529.49,2706.63,7.1271
150,1.93636,2582.75,2776.38,7.6133,0.95964,2576.87,2768.80,7.2795
200,2.17226,2658.05,2875.27,7.8342,1.08034,2654.39,2870.46,7.5066
250,2.40604,2733.73,2974.33,8.0332,1.19880,2731.22,2970.98,7.7085
300,2.63876,2810.41,3074.28,8.2157,1.31616,2808.55,3071.79,7.8926
400,3.10263,2967.85,3278.11,8.5434,1.54930,2966.69,3276.55,8.2217
500,3.56547,3131.54,3488.09,8.8341,1.78139,3130.75,3487.03,8.5132
600,4.02781,3301.94,3704.72,9.0975,2.01297,3301.36,3703.96,8.7769
700,4.48986,3479.24,3928.23,9.3398,2.24426,3478.81,3927.66,9.0194
800,4.95174,3663.53,4158.71,9.5652,2.47539,3663.19,4158.27,9.2450
900,5.41353,3854.77,4396.12,9.7767,2.70643,3854.49,4395.77,9.4565
1000,5.87526,4052.78,4640.31,9.9764,2.93740,4052.53,4640.01,9.6563
1100,6.33696,4257.25,4890.95,10.1658,3.16834,4257.01,4890.68,9.8458
1200,6.79863,4467.70,5147.56,10.3462,3.39927,4467.46,5147.32,10.0262
1300,7.26030,4683.47,5409.49,10.5182,3.63018,4683.23,5409.26,10.1982
