temperature,v_pa10,u_pa10,h_pa10,s_pa10,v_pa50,u_pa50,h_pa50,s_pa50
0,14.67355,2437.89,2584.63,8.1501,3.24034,2483.85,2645.87,7.5939
50,14.86920,2443.87,2592.56,8.1749,0,0,0,0
100,17.19561,2515.50,2687.46,8.4479,3.41833,2511.61,2682.52,7.6947
150,19.51251,2587.86,2782.99,8.6881,3.88937,2585.61,2780.08,7.9400
200,21.82507,2661.27,2879.52,8.9037,4.35595,2659.85,2877.64,8.1579
250,24.13559,2735.95,2977.31,9.1002,4.82045,2734.97,2975.99,8.3555
300,26.44508,2812.06,3076.51,9.2812,5.28391,2811.33,3075.52,8.5372
400,31.06252,2968.89,3279.51,9.6076,6.20929,2968.43,3278.89,8.8641
500,35.67896,3132.26,3489.05,9.8977,7.13364,3131.94,3488.62,9.1545
600,40.29488,3302.45,3705.40,10.1608,8.05748,3302.22,3705.10,9.4177
700,44.91052,3479.63,3928.73,10.4028,8.98104,3479.45,3928.51,9.6599
800,49.52599,3663.84,4159.10,10.6281,9.90444,3663.70,4158.92,9.8852
900,54.14137,3855.03,4396.44,10.8395,10.82773,3854.91,4396.30,10.0967
1000,58.75669,4053.01,4640.58,11.0392,11.75097,4052.91,4640.46,10.2964
1100,63.37198,4257.47,4891.19,11.2287,12.67418,4257.37,4891.08,10.4858
1200,67.98724,4467.91,5147.78,11.4090,13.59737,4467.82,5147.69,10.6662
1300,72.60250,4683.68,5409.70,14.5810,14.52054,4683.58,5409.61,10.8382
