temperature,v_pa15000,u_pa15000,h_pa15000,s_pa15000,v_pa20000,u_pa20000,h_pa20000,s_pa20000
0,0.001658,1585.58,1610.45,3.6847,0.002035,1785.47,1826.18,4.0137
0,0.000993,0.15,15.04,0.0004,0.000990,0.20,20.00,0.0004
20,0.000995,83.05,97.97,0.2934,0.000993,82.75,102.61,0.2922
40,0.001001,165.73,180.75,0.5665,0.000999,165.15,185.14,0.5646
60,0.001011,248.49,263.65,0.8231,0.001008,247.66,267.82,0.8205
80,0.001022,331.46,346.79,1.0655,0.001020,330.38,350.78,1.0623
100,0.001036,414.72,430.26,1.2954,0.001034,413.37,434.04,1.2917
120,0.001052,498.39,514.17,1.5144,0.001050,496.75,517.74,1.5101
140,0.001071,582.64,598.70,1.7241,0.001068,580.67,602.03,1.7192
160,0.001092,667.69,684.07,1.9259,0.001089,665.34,687.11,1.9203
180,0.001116,753.74,770.48,2.1209,0.001112,750.94,773.18,2.1146
200,0.001143,841.04,858.18,2.3103,0.001139,837.70,860.47,2.3031
220,0.001175,929.89,947.52,2.4952,0.001169,925.89,949.27,2.4869
240,0.001211,1020.82,1038.99,2.6770,0.001205,1015.94,1040.04,2.6673
260,0.001255,1114.59,1133.41,2.8575,0.001246,1108.53,1133.45,2.8459
280,0.001308,1212.47,1232.09,3.0392,0.001297,1204.69,1230.62,3.0248
300,0.001377,1316.58,1337.23,3.2259,0.001360,1306.10,1333.29,3.2071
320,0.001472,1431.05,1453.13,3.4246,0.001444,1415.66,1444.53,3.3978
340,0.001631,1567.42,1591.88,3.6545,0.001568,1539.64,1571.01,3.6074
360,0,0,0,0,0.001823,1702.78,1739.23,3.8770
