temperature,s_pa50,v_pa50,u_pa50,h_pa50,s_pa100,v_pa100,u_pa100,h_pa100
0,2.1752,1269.6,1378.3,6.0839,1.1381,1284.9,1398.7,5.8401
-30,2.3448,1296.2,1413.4,6.2333,1.1573,1291.0,1406.7,5.8734
-20,2.4463,1312.3,1434.6,6.3187,1.2101,1307.8,1428.8,5.9626
-10,2.5471,1328.4,1455.7,6.4006,1.2621,1324.6,1450.8,6.0477
0,2.6474,1344.5,1476.9,6.4795,1.3136,1341.3,1472.6,6.1291
10,2.7472,1360.7,1498.1,6.5556,1.3647,1357.9,1494.4,6.2073
20,2.8466,1377.0,1519.3,6.6293,1.4153,1374.5,1516.1,6.2826
30,2.9458,1393.3,1540.6,6.7008,1.4657,1391.2,1537.7,6.3553
40,3.0447,1409.8,1562.0,6.7703,1.5158,1407.9,1559.5,6.4258
50,3.1435,1426.3,1583.5,6.8379,1.5658,1424.7,1581.2,6.4943
60,3.2421,1443.0,1605.1,6.9038,1.6156,1441.5,1603.1,6.5609
70,3.3406,1459.9,1626.9,6.9682,1.6653,1458.5,1625.1,6.6258
80,3.4390,1476.9,1648.8,7.0312,1.7148,1475.6,1647.1,6.6892
100,3.6355,1511.4,1693.2,7.1533,1.8137,1510.3,1691.7,6.8120
120,3.8318,1546.6,1738.2,7.2708,1.9124,1545.7,1736.9,6.9300
140,4.0280,1582.5,1783.9,7.3842,2.0109,1581.7,1782.8,7.0439
160,4.2240,1619.2,1830.4,7.4941,2.1093,1618.5,1829.4,7.1540
180,4.4199,1656.7,1877.7,7.6008,2.2075,1656.0,1876.8,7.2609
200,4.6157,1694.9,1925.7,7.7045,2.3057,1694.3,1924.9,7.3648
