temperature,s_pa800,v_pa800,u_pa800,h_pa800,s_pa1000,v_pa1000,u_pa1000,h_pa1000
0,0.07941,201.70,265.23,8.8505,0.06367,204.45,268.12,8.7735
150,0.08434,212.53,280.00,8.9509,0.06434,206.28,270.62,8.7902
175,0.10433,257.30,340.76,9.3260,0.08149,253.38,334.87,9.1871
200,0.12278,299.62,397.85,9.6310,0.09681,296.73,393.53,9.5006
225,0.14050,341.10,453.50,9.8932,0.11132,338.79,450.11,9.7672
250,0.15781,382.53,508.78,10.1262,0.12541,380.61,506.01,10.0028
275,0.17485,424.47,564.35,10.3381,0.13922,422.82,562.04,10.2164
300,0.19172,467.36,620.73,10.5343,0.15285,465.91,618.76,10.4138
325,0.20845,511.55,678.31,10.7186,0.16635,510.26,676.61,10.5990
350,0.22510,557.33,737.41,10.8938,0.17976,556.18,735.94,10.7748
375,0.24167,604.95,798.28,11.0617,0.19309,603.91,797.00,10.9433
400,0.25818,654.57,861.12,11.2239,0.20636,653.62,859.98,11.1059
425,0.27465,706.31,926.03,11.3813,0.21959,705.44,925.03,11.2636
450,0.29109,760.24,993.11,11.5346,0.23279,759.44,992.23,11.4172
475,0.30749,816.40,1062.40,11.6845,0.24595,815.66,1061.61,11.5672
500,0.32387,874.79,1133.89,11.8311,0.25909,874.10,1133.19,11.7141
525,0.34023,935.38,1207.56,11.9749,0.27221,934.73,1206.95,11.8580
550,0.35657,998.14,1283.45,12.1161,0.28531,997.53,1282.84,11.9992
