temperature,s_pa400,v_pa400,u_pa400,h_pa400,s_pa600,v_pa600,u_pa600,h_pa600
0,0.15427,191.01,252.72,9.0754,0.10496,197.54,260.51,8.9458
150,0.18233,223.16,296.09,9.3843,0.11717,218.08,288.38,9.1390
175,0.21799,264.61,351.81,9.7280,0.14227,261.03,346.39,9.4970
200,0.25246,305.19,406.18,10.0185,0.16603,302.44,402.06,9.7944
225,0.28631,345.61,460.13,10.2726,0.18911,343.37,456.84,10.0525
250,0.31978,386.32,514.23,10.5007,0.21180,384.44,511.52,10.2830
275,0.35301,427.74,568.94,10.7092,0.23424,426.11,566.66,10.4931
300,0.38606,470.23,624.65,10.9031,0.25650,468.80,622.69,10.6882
325,0.41899,514.10,681.69,11.0857,0.27863,512.82,680.00,10.8716
350,0.45183,559.63,740.36,11.2595,0.30067,558.48,738.88,11.0461
375,0.48460,607.03,800.87,11.4265,0.32264,605.99,799.57,11.2136
400,0.51731,656.47,863.39,11.5879,0.34456,655.52,862.25,11.3754
425,0.54997,708.05,928.04,11.7446,0.36643,707.18,927.04,11.5324
450,0.58260,761.85,994.89,11.8974,0.38826,761.05,994.00,11.6855
475,0.61520,817.89,1063.97,12.0468,0.41006,817.15,1063.18,11.8351
500,0.64778,876.18,1135.29,12.1931,0.43184,875.48,1134.59,11.9816
525,0.68033,936.67,1208.81,12.3366,0.45360,936.03,1208.18,12.1252
